# Paso ID Masa X Y Vx Vy
5 21 28.32391921 607.03414279 965.25507991 -0.00306307 -0.00659820
5 22 2.54800409 165.26695707 296.27351343 0.00044522 0.00020437
5 23 30.05532946 394.88151866 423.40171712 0.00005087 0.00685918
5 24 71.42285296 198.84246343 14.07984406 0.00172079 0.00058386
5 25 92.70378692 605.95996151 790.17551560 -0.00054144 -0.00056618
5 26 85.15381895 914.95966325 651.07702258 -0.00034802 -0.00022738
5 27 37.71100725 95.41011219 449.45068246 -0.00011155 0.00023091
5 28 59.53848078 665.92229494 668.84128383 -0.00163578 0.00076470
5 29 38.90976057 561.24341320 274.72177193 -0.00028005 -0.00055684
5 30 72.45122229 848.91380559 971.71208308 -0.00038964 -0.00029392
5 31 5.00292559 256.06832717 235.98494574 0.00013947 0.00075653
5 32 44.49431423 110.89082766 710.66287721 0.00003188 -0.00036196
5 33 48.06165225 895.76359076 201.71921278 -0.00021125 0.00018453
5 34 14.79381392 695.51606321 563.27559821 -0.00049355 0.00066932
5 35 21.10306174 539.84108719 604.41738829 -0.00005237 0.00030326
5 36 69.78370867 598.86542928 942.85361659 -0.00104176 0.00125011
5 37 30.26773512 624.35400955 880.46784468 -0.00099645 0.00017904
5 38 22.62560342 456.53455678 105.49427146 -0.00040579 0.00038044
5 39 33.11015721 883.28025778 416.50995919 -0.00011651 0.00038567
5 40 90.77601631 356.29784911 122.08796709 0.00021717 0.00039309
5 41 1.05151728 647.69009919 272.13225017 -0.00069362 0.00007020
5 42 17.30092920 304.78127291 352.56886602 0.00040384 0.00037483
5 43 69.55116717 484.82996984 534.08943077 -0.00019185 0.00023812
5 44 17.66081356 244.12553573 269.41233317 0.00043081 -0.00000684
5 45 40.97978112 558.10199520 218.76424981 -0.00020160 0.00076607
5 46 25.44073031 253.91540517 64.89223123 -0.00021825 -0.00044208
5 47 15.66060595 712.27052002 696.30425305 -0.00194970 -0.00050126
5 48 97.68488029 266.78102327 997.74047530 0.00021350 -0.00042563
5 49 35.16205361 33.05075939 411.03703919 0.00066945 0.00056730

6 0 78.18940876 183.43479451 796.54296961 0.00016546 -0.00036698
6 1 10.89751713 445.83278592 596.85013989 0.00070941 -0.00054215
6 2 15.14381463 333.70869683 459.24887656 0.00213279 -0.00028237
6 3 72.47787839 56.41159805 650.88846028 0.00053974 -0.00032861
6 4 99.22894486 0.77878152 938.55270189 0.00041891 -0.00031214
6 5 1.69956456 611.65315769 617.48158858 -0.00011941 0.00202941
6 6 40.58623680 524.77465501 23.06245646 -0.00017028 0.00069755
6 7 24.04436270 973.75551277 46.66567940 -0.00024245 0.00027782
6 8 38.86373701 618.38599504 90.60645030 -0.00049361 0.00036887
6 9 86.13409991 466.76291850 983.23085676 0.00049687 -0.00072934
6 10 2.31323085 450.49927256 680.30754636 0.00047941 0.00018753
6 11 39.15623412 563.28836586 942.20174210 0.00376967 -0.00030499
6 12 24.86152145 230.89367646 15.96628677 -0.00360792 0.00073470
6 13 83.48629641 609.99667868 683.26354099 0.00054983 0.00041711
6 14 19.04137260 391.06058180 173.36460249 -0.00069461 -0.00111797
6 15 21.58622472 425.15589137 755.36139926 0.00034814 -0.00023965
6 16 84.38619253 31.31331929 567.70035127 0.00068742 0.00060009
6 17 92.73922736 395.15023122 449.75404628 -0.00001068 -0.00207070
6 18 57.47395362 326.54078246 727.27199610 0.00027093 -0.00000031
6 19 84.60885120 961.17200686 520.83427597 -0.00054570 0.00024864
6 20 59.08836569 539.69217883 747.32011256 0.00123233 0.00003888
6 21 28.32391921 607.03410705 965.25500293 -0.00357359 -0.00769791
6 22 2.54800409 165.26696227 296.27351582 0.00051942 0.00023843
6 23 30.05532946 394.88151925 423.40179714 0.00005935 0.00800239
6 24 71.42285296 198.84248351 14.07985087 0.00200759 0.00068117
6 25 92.70378692 605.95995520 790.17550900 -0.00063168 -0.00066055
6 26 85.15381895 914.95965919 651.07701993 -0.00040603 -0.00026528
6 27 37.71100725 95.41011089 449.45068516 -0.00013015 0.00026940
6 28 59.53848078 665.92227585 668.84129275 -0.00190841 0.00089215
6 29 38.90976057 561.24340993 274.72176543 -0.00032672 -0.00064965
6 30 72.45122229 848.91380105 971.71207965 -0.00045458 -0.00034291
6 31 5.00292559 256.06832880 235.98495456 0.00016272 0.00088261
6 32 44.49431423 110.89082803 710.66287299 0.00003719 -0.00042229
6 33 48.06165225 895.76358830 201.71921493 -0.00024646 0.00021529
6 34 14.79381392 695.51605745 563.27560601 -0.00057581 0.00078088
6 35 21.10306174 539.84108658 604.41739183 -0.00006110 0.00035381
6 36 69.78370867 598.86541713 942.85363117 -0.00121538 0.00145847
6 37 30.26773512 624.35399792 880.46784677 -0.00116253 0.00020888
6 38 22.62560342 456.53455205 105.49427590 -0.00047342 0.00044385
6 39 33.11015721 883.28025642 416.50996369 -0.00013592 0.00044995
6 40 90.77601631 356.29785164 122.08797168 0.00025337 0.00045860
6 41 1.05151728 647.69009110 272.13225099 -0.00080922 0.00008190
6 42 17.30092920 304.78127762 352.56887040 0.00047114 0.00043731
6 43 69.55116717 484.82996760 534.08943355 -0.00022382 0.00027780
6 44 17.66081356 244.12554076 269.41233309 0.00050261 -0.00000798
6 45 40.97978112 558.10199285 218.76425875 -0.00023520 0.00089375
6 46 25.44073031 253.91540263 64.89222607 -0.00025462 -0.00051576
6 47 15.66060595 712.27049728 696.30424720 -0.00227465 -0.00058481
6 48 97.68488029 266.78102576 997.74047033 0.00024909 -0.00049657
6 49 35.16205361 33.05076720 411.03704581 0.00078103 0.00066185

7 0 78.18940876 183.43479640 796.54296541 0.00018910 -0.00041941
7 1 10.89751713 445.83279403 596.85013370 0.00081075 -0.00061960
7 2 15.14381463 333.70872121 459.24887333 0.00243748 -0.00032271
7 3 72.47787839 56.41160422 650.88845653 0.00061685 -0.00037555
7 4 99.22894486 0.77878631 938.55269833 0.00047875 -0.00035673
7 5 1.69956456 611.65315633 617.48161177 -0.00013647 0.00231932
7 6 40.58623680 524.77465306 23.06246443 -0.00019461 0.00079720
7 7 24.04436270 973.75551000 46.66568257 -0.00027709 0.00031751
7 8 38.86373701 618.38598939 90.60645451 -0.00056413 0.00042157
7 9 86.13409991 466.76292418 983.23084843 0.00056785 -0.00083354
7 10 2.31323085 450.49927804 680.30754850 0.00054789 0.00021432
7 11 39.15623412 563.28840894 942.20173861 0.00430820 -0.00034856
7 12 24.86152145 230.89363523 15.96629517 -0.00412334 0.00083965
7 13 83.48629641 609.99668496 683.26354576 0.00062837 0.00047670
7 14 19.04137260 391.06057386 173.36458971 -0.00079384 -0.00127768
7 15 21.58622472 425.15589535 755.36139652 0.00039787 -0.00027389
7 16 84.38619253 31.31332715 567.70035813 0.00078562 0.00068582
7 17 92.73922736 395.15023110 449.75402262 -0.00001221 -0.00236652
7 18 57.47395362 326.54078555 727.27199610 0.00030964 -0.00000036
7 19 84.60885120 961.17200062 520.83427881 -0.00062366 0.00028416
7 20 59.08836569 539.69219291 747.32011300 0.00140838 0.00004443
7 21 28.32391921 607.03406621 965.25491495 -0.00408411 -0.00879763
7 22 2.54800409 165.26696820 296.27351854 0.00059362 0.00027249
7 23 30.05532946 394.88151993 423.40188860 0.00006783 0.00914560
7 24 71.42285296 198.84250645 14.07985866 0.00229439 0.00077848
7 25 92.70378692 605.95994798 790.17550145 -0.00072192 -0.00075491
7 26 85.15381895 914.95965455 651.07701690 -0.00046403 -0.00030317
7 27 37.71100725 95.41010940 449.45068823 -0.00014874 0.00030789
7 28 59.53848078 665.92225404 668.84130295 -0.00218104 0.00101960
7 29 38.90976057 561.24340620 274.72175801 -0.00037340 -0.00074246
7 30 72.45122229 848.91379585 971.71207573 -0.00051952 -0.00039190
7 31 5.00292559 256.06833066 235.98496465 0.00018596 0.00100870
7 32 44.49431423 110.89082846 710.66286816 0.00004250 -0.00048262
